"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Utp14a"	985.628549907336	-1.00026506888092	0.149135188104414	-6.70710300898677	1.9852612807284e-11	4.49724278413653e-10
"Tkt"	11894.0371473483	-1.0007765352069	0.281891771494926	-3.55021549547046	0.000384915931106919	0.00179734653438876
"Mcm3ap"	4822.84160476026	-1.00085051315428	0.168683444157508	-5.93330612943694	2.96894529027068e-09	4.7753174407584e-08
"Tmed3"	2172.26042591444	-1.00242813847184	0.398325587421907	-2.51660493356675	0.0118491610070057	0.0335400172819315
"Usp31"	1100.2101958251	-1.00317420777098	0.129578996822771	-7.74179637416891	9.80218892279669e-15	3.47966174772315e-13
"Ints2"	980.914348456191	-1.00339617034453	0.241424543688355	-4.15614814887989	3.23657993846638e-05	0.000208320313701546
"Rnaseh2c"	1445.61364377181	-1.00380297344194	0.298832277320857	-3.35908484331547	0.000782010542534372	0.0033593943779089
"Rab11b"	2203.72005542725	-1.00388124750541	0.149741957310392	-6.70407456625215	2.02686749406984e-11	4.58461017736607e-10
"Aacs"	1536.6996601567	-1.00403113369463	0.316540964810604	-3.17188372220757	0.00151453634793923	0.0059769316979752
"Lrp5"	1037.14274038528	-1.00454583126627	0.421433284421308	-2.38364141704106	0.0171422966836073	0.0451590413943747
"4921531C22Rik"	86.5116510663353	-1.00601546760361	0.331626278191249	-3.03358187743928	0.00241669121671652	0.00886903925726153
"Brd8"	2274.97129430124	-1.00613741249116	0.172726299127777	-5.82503890589848	5.70992962942659e-09	8.71978361564895e-08
"Acsl5"	3000.82991434092	-1.00668197739763	0.259899262120812	-3.87335450352175	0.000107347503612947	0.000588927922548558
"Heg1"	1206.71300314924	-1.00841169532709	0.255751063167767	-3.94294233946388	8.04880118521437e-05	0.000458581055443086
"Stk11ip"	907.826015966082	-1.0087498887882	0.175501678231633	-5.74780765034519	9.04080016929145e-09	1.33462379798532e-07
"Usp37"	1087.67604336161	-1.00963931099191	0.277862408836227	-3.63359446576669	0.000279500048907717	0.00136334213962843
"Rwdd2b"	269.632883719468	-1.00973981578567	0.178203199292803	-5.66622720463387	1.45975935898017e-08	2.0544206575498e-07
"Pigk"	991.963117591475	-1.0105142290544	0.149530163235532	-6.75792901705515	1.39978073451751e-11	3.22419724300239e-10
"Taf1"	1796.5184571136	-1.01088150100307	0.25693081820086	-3.93445016865509	8.33873662864741e-05	0.000472956840287231
"Tnfrsf1a"	1743.80643784467	-1.01121497033414	0.268704728671564	-3.76329428712861	0.000167689673504551	0.000871789836031414
"Rbm3"	11787.0579814126	-1.01220321887586	0.244257263004038	-4.1440045893707	3.4129290827349e-05	0.000217812441079617
"Dek"	3363.18984747563	-1.01544165579683	0.40288761636681	-2.5204092023328	0.0117218475745313	0.0332295216754891
"Cenpt"	362.890309149517	-1.01645110226772	0.262730534236621	-3.86879699849536	0.000109373653987121	0.000599607673584194
"Comt"	926.136872666553	-1.0195200819173	0.14585184252205	-6.99010766191154	2.74675379745988e-12	7.0118907854953e-11
"Zeb2os"	50.8830700102574	-1.01982452653288	0.372013315722804	-2.74136565394551	0.0061184376010982	0.019307439466172
"Psmb10"	745.863301329695	-1.02146055417657	0.203624123631569	-5.01640245742573	5.2647986255886e-07	5.27774198433589e-06
"Sord"	2914.69647760802	-1.02147462154025	0.180567511153616	-5.65702332060852	1.54020842488469e-08	2.15958406191779e-07
"Ptgs1"	2255.59723885354	-1.02393989788385	0.398293442793537	-2.57081786409079	0.0101458670903004	0.0294889110935998
"Dhx33"	815.293303172932	-1.0240628133516	0.219401874398207	-4.66752080473553	3.04855888909762e-06	2.52851060801626e-05
"2610018G03Rik"	1637.55590179864	-1.02464697524326	0.248043931773817	-4.13090926238666	3.61331193977333e-05	0.000229146856811098
"Man1a2"	1618.60461083895	-1.02522024153658	0.12185277687945	-8.41359768559762	3.97622841705779e-17	1.8572556696022e-15
"Rufy1"	561.220846432833	-1.0269200984963	0.201197381330436	-5.10404306311393	3.32472565077609e-07	3.5175410864838e-06
"Tmem158"	81.1124391080764	-1.02709412028798	0.421052936255916	-2.43934677055359	0.0147138412464446	0.0398470154164619
"Prpf19"	2702.76476059315	-1.02768067655087	0.314203663345002	-3.27074695950458	0.0010726384071981	0.00442228883966105
"Nsd1"	4098.07352774896	-1.0298280711654	0.123177639644644	-8.36051148679546	6.24469174394042e-17	2.83776097412136e-15
"Hnrnph1"	10331.8174343489	-1.03056616708419	0.220324327024687	-4.677496039594	2.90399181145349e-06	2.42191953893857e-05
"Zmat3"	393.736998699485	-1.03078322968862	0.278044644631049	-3.70725798749485	0.000209515477975597	0.00105859344146612
"Dis3l"	688.847477140292	-1.03112786427283	0.130958775353986	-7.8736828554303	3.44351184813064e-15	1.29880658131868e-13
"Scarb1"	1845.94562374842	-1.03123253141433	0.378535862532942	-2.72426639979081	0.00644445014291197	0.0201755263237226
"Dtwd2"	160.501425263655	-1.03123297698487	0.260122805209046	-3.96440818080569	7.35782602854222e-05	0.000425479192382585
"Snrnp200"	5957.87918689936	-1.03236596200747	0.252487668529394	-4.0887777530699	4.33652082916887e-05	0.000267477881233323
"Magoh"	912.991255474275	-1.03294158145453	0.381927806392739	-2.7045466817683	0.00683976585518852	0.0211848793794353
"Raph1"	497.264785784653	-1.03341550037942	0.150332988976864	-6.87417650252706	6.23489729153166e-12	1.52704375709964e-10
"Hcfc1"	6770.65149867825	-1.03425820321013	0.176751233746955	-5.85149071542449	4.87186484460359e-09	7.53864870877276e-08
