"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Serpine1"	335.093723351013	11.1855935669502	1.37127842723886	8.15705501141221	3.43292058600182e-16	4.23693280337051e-15
"P4ha2"	84.4668752218338	11.0965611774274	1.25760103068197	8.82359421366724	1.10843355026563e-18	1.67995321430987e-17
"Rian"	69.9628882958534	10.6312731351417	1.31470033706214	8.08646110101297	6.14233221596826e-16	7.42642732828767e-15
"Gpr125"	106.868083758602	10.4357717108281	1.25029683624152	8.3466353015807	7.02351710897705e-17	9.29890446990184e-16
"Gstt1"	623.016662709026	10.4137084510926	0.582559916578081	17.8757723536182	1.82135363782848e-71	3.39280061372235e-69
"Serinc2"	98.4236104911601	10.3959619841422	1.20593985180774	8.620630596591	6.65863933934369e-18	9.59275199786743e-17
"Dapk1"	141.974546018846	10.3341540311642	1.22643694053525	8.42616011439944	3.57193335891794e-17	4.86584799403617e-16
"Neo1"	45.8550069258736	10.0897842362439	1.20722911285064	8.35780394031323	6.38965209932072e-17	8.50891326941962e-16
"Bicd1"	77.1939192241776	10.0375468924825	1.21956158209334	8.23045514048859	1.86503440354392e-16	2.36188546599001e-15
"Gm13051"	62.1778049685131	10.0184681623259	1.20127304299066	8.33987595141917	7.4368508549277e-17	9.78951115003629e-16
"Sfmbt2"	399.554808370823	9.93871179196722	0.758774206790528	13.0983785466379	3.36366962509162e-39	1.76675368504812e-37
"Gimap8"	81.6390836015843	9.935286063155	1.25387161743528	7.92368686315515	2.30569834806735e-15	2.66118786282701e-14
"Mst1r"	112.442787708979	9.92315327898872	1.19309953268962	8.31712108428948	9.01256668228028e-17	1.17574363395871e-15
"Sh3pxd2b"	204.461208723392	9.90768609992852	0.897331304639182	11.0412799026469	2.41567399814804e-28	7.20653583805058e-27
"Echdc2"	47.2344367703977	9.85681638581205	1.2242148334568	8.05154137691626	8.17577659956874e-16	9.80358840756671e-15
"Zscan4c"	31.1110420008926	9.77142592287897	1.26617895969595	7.7172550120604	1.18861693324511e-14	1.27796263560984e-13
"Meg3"	119.230683873992	9.68956886456326	1.14946534367723	8.42963114796097	3.46756459819322e-17	4.72769232877068e-16
"Pdlim3"	39.5733237150572	9.59925412363321	1.23150162086374	7.79475557401259	6.45332732027486e-15	7.09555962050812e-14
"Gstt4"	27.3591805341931	9.59180282604351	1.27037801200838	7.55035330852393	4.34079063695948e-14	4.46338035969775e-13
"Rbm11"	27.7685850287217	9.57100044896546	1.25985979146345	7.59687745717151	3.03361552322887e-14	3.15574809624198e-13
"A630023A22Rik"	39.7253608200817	9.55113088900367	1.21046621670064	7.89045638550503	3.01083427238125e-15	3.42324805135185e-14
"Serpinb8"	33.1632456375981	9.54133786368471	1.31647425570831	7.24764485314688	4.24080814521076e-13	3.9660097189887e-12
"Rasd2"	28.2031382153077	9.52310278045344	1.23513017984338	7.71020167417576	1.25619069052941e-14	1.34699965610984e-13
"Camk2d"	124.580359337782	9.48620726469297	1.2821764328781	7.39851944041684	1.3771123451272e-13	1.34602439102732e-12
