"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Xist"	3006.82906805781	12.7646946070708	1.02201914405253	12.4896824891714	8.49921498524967e-36	2.46260587915754e-33
"Sdk1"	214.096301583945	12.1704546381376	2.17040163663866	5.6074665779308	2.05309643061525e-08	4.6107303883285e-07
"Gm6329"	45.5544416968051	11.8842388707841	1.46170562124004	8.13039144003704	4.27906374154838e-16	2.67931037749408e-14
"9330111N05Rik"	28.9847135886207	11.2438977038942	1.55701443798668	7.22144729655378	5.14371569226654e-13	2.36051822312493e-11
"Adrbk2"	45.4876460425451	10.4698666253554	1.29023375821554	8.11470522972191	4.8696539978906e-16	3.02348223221972e-14
"Npl"	47.7253794527273	10.0876640833392	1.28517600934275	7.84924711479647	4.18542208141835e-15	2.38795297672274e-13
"Il1rl2"	102.120875418836	9.63826943611041	0.853960844378989	11.2865472691778	1.52926689423956e-29	3.09561327344903e-27
"Dapk1"	141.974546018846	9.5503533935151	1.27474205500648	7.49198895259365	6.78376338953451e-14	3.44479971158596e-12
"Tmem98"	22.7431772497067	9.3984088943049	1.40218747195047	6.70267641261376	2.04636290905946e-11	7.55977617679292e-10
"Pdlim3"	39.5733237150572	9.31727458702866	1.28539255670201	7.24858296280662	4.21154436135133e-13	1.95704374300908e-11
"4930502E18Rik"	9.29748023309062	9.28102993100399	2.40431636834268	3.86015336966719	0.00011331588013836	0.00102351391247222
"Svep1"	47.1068754804866	9.23650555739041	1.57450965071117	5.86627433704104	4.45696147783887e-09	1.15342416388835e-07
"As3mt"	27.8905113989454	9.23102488160362	1.55074308677981	5.95264616060438	2.63841323497351e-09	7.23336407666114e-08
"Gria3"	531.600813634323	9.17388155815798	1.73574461929033	5.28527149455244	1.25518462370846e-07	2.38404411112337e-06
"Snx31"	10.1862078407594	9.15329497575926	1.54847747034073	5.91115799298335	3.39710995691971e-09	9.07759382159179e-08
"Maged1"	57.7317972509287	9.04225993645534	1.52979043727463	5.91078340936973	3.40484489233294e-09	9.08183988700431e-08
"Gspt2"	7.76762803558685	9.04224924603655	2.32099450389395	3.89585120984402	9.78544506550576e-05	0.000901493277637024
"C430002E04Rik"	13.0274493062584	8.90417944902489	2.85439109625251	3.11946721691889	0.0018117842089131	0.0108085326019818
"Pcbd1"	17.116639100801	8.79072563120669	1.51825818849887	5.79000706058976	7.038346556663e-09	1.7538894952413e-07
"BC033916"	7.13286004483084	8.73824631159185	2.21496186261298	3.94510012072325	7.97666428515435e-05	0.000757040257814553
"Rgs8"	6.00559226045695	8.64633170360744	1.78749894749172	4.83711149354257	1.31739540407522e-06	2.00073503453439e-05
"Fn1"	258.757609761752	8.6270375202032	1.66491306830424	5.18167445762804	2.19902774352732e-07	3.90836030270834e-06
"Wt1"	82.992173846332	8.58635590201252	1.53698777467894	5.58648288780705	2.31714368718777e-08	5.14120604588193e-07
"Tceal8"	54.2385287050389	8.56044427322368	1.03041450472015	8.30776763526697	9.75192523141778e-17	6.64074650436224e-15
