"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Noc2l"	2555.47845291773	-1.0054228417458	0.172965831953035	-5.81284078128679	6.14214757594559e-09	1.54884837422778e-07
"Rpl23"	24763.1146243467	-1.00559310228564	0.274155873678449	-3.66796118132809	0.000244492291827948	0.0020014190785424
"Nr1d1"	121.244143793069	-1.00580176361477	0.328434770090784	-3.06240951083454	0.0021956284875634	0.0126490456766957
"Wdr43"	2970.47909661059	-1.0118567255864	0.158006354579073	-6.40389893357121	1.51458391022062e-10	5.07505814996149e-09
"Wars"	2605.19697449649	-1.01598794832534	0.283159578920058	-3.58804018638613	0.000333172946115028	0.00260357746002322
"Mcfd2"	5260.2863123471	-1.01677144476744	0.361456863668521	-2.81298142867716	0.00490844859114403	0.0248568008332198
"Entpd6"	510.128972500648	-1.01683698118621	0.22547669604566	-4.50972095573149	6.49129534143767e-06	8.30492391865146e-05
"Rdh14"	353.115631852511	-1.01736933225028	0.244527705087453	-4.16054831859001	3.17484436318409e-05	0.000336547167537814
"Rpl36a"	13196.5444327312	-1.01871564048515	0.241485610368469	-4.21853558450438	2.45894167695123e-05	0.000269153934520802
"Polr1b"	1301.14830893031	-1.01886551864038	0.233565078677785	-4.3622339624065	1.2874108736579e-05	0.000151465529299704
"E430018J23Rik"	73.3431499345871	-1.02011785856345	0.321837549079153	-3.16966699964698	0.00152613730228956	0.00942798115214581
"Rpl17"	29431.8385352423	-1.02021916613605	0.261044290723526	-3.90822248327419	9.29776666224074e-05	0.000862480213232463
"Arid1b"	3926.36166520683	-1.02180004743751	0.166699505475233	-6.12959255352631	8.8104410158966e-10	2.62483642927226e-08
"Rpl12"	29823.4552451592	-1.02206682848515	0.185661192553252	-5.5050105756053	3.69146108749822e-08	7.79267435570873e-07
"Mlh3"	467.868888061786	-1.02467072042209	0.283547574203828	-3.61375237753051	0.000301797307425556	0.00240153947863621
"Mag"	700.936316036484	-1.02583964647151	0.323070022119693	-3.17528577780408	0.00149689001397265	0.00928066871789608
"Phgdh"	3711.32357572412	-1.02597427635	0.087277902472358	-11.7552581728799	6.6357618199908e-32	1.50856388329237e-29
"Slc1a5"	7523.80797457745	-1.02608507414179	0.0979829861812279	-10.4720739194859	1.16071727241832e-25	1.73251708429551e-23
"Mta1"	2030.52783338168	-1.0293424499601	0.132183040056505	-7.78725053925285	6.84830724079859e-15	3.83323621580609e-13
"Zfp94"	65.416472481959	-1.03085876155467	0.339095115868993	-3.04002833810479	0.00236555889694413	0.0134497359831256
"Ccdc166"	171.929528007945	-1.03278311602784	0.314647692983184	-3.28234765122855	0.00102946597609611	0.00678822790217412
"Rrp9"	1071.66554991806	-1.03318311040885	0.264732355927978	-3.90274587625374	9.5107543451618e-05	0.000880027657848816
"Rpl32"	19393.8112298409	-1.03387510643201	0.212061977885983	-4.87534407034476	1.08618966457947e-06	1.68776284684447e-05
"Def8"	1994.04675283799	-1.03506584781005	0.141198000573979	-7.33059847591636	2.29127193122063e-13	1.09219759121443e-11
"Angel1"	181.59203320303	-1.0382943048462	0.321600553656781	-3.22852150918338	0.00124431901011405	0.00799447913585013
"Bcap29"	2629.28312018764	-1.03886974457153	0.152682266285343	-6.8041284023779	1.01662835988717e-11	3.92238048930882e-10
"Npepl1"	2308.05800759598	-1.03888493168105	0.115597459248646	-8.98709139831915	2.53859499142738e-19	2.1314101243365e-17
"Srm"	2504.6296741018	-1.04161950713611	0.269646700161383	-3.86290470646482	0.000112046724332035	0.00101390964204194
"Pus7"	1056.18936649238	-1.04483441683536	0.234217873104536	-4.4609508360151	8.15968097028653e-06	0.000101154031625775
"2210016F16Rik"	727.615268629644	-1.04858599633815	0.391570127512797	-2.67790089861714	0.0074085134573158	0.0347100834999225
"Mbtps2"	881.278627720635	-1.04952925504605	0.112983774684823	-9.28920332121836	1.55447461912884e-20	1.52122327462695e-18
"Xylt1"	273.164004778914	-1.05804814574932	0.213531896734723	-4.95498874841996	7.23344748537371e-07	1.17331123481194e-05
"Susd3"	183.933918984832	-1.06041040886803	0.397518199702222	-2.66757700568772	0.00764003788028233	0.0355692626833434
"Gm6402"	302.101758063448	-1.06083341952213	0.273242700527582	-3.88238521092731	0.000103436848076124	0.000944676331286085
"Snora65"	77.5253355642793	-1.06621260032854	0.385011672755396	-2.76929941551647	0.00561769831155422	0.0277263620406936
"9130024F11Rik"	82.874972671819	-1.06665103988633	0.344567089401628	-3.09562657808867	0.00196397526880042	0.0115532096126846
"Sgsh"	383.015374448232	-1.0677595963266	0.217709864018336	-4.90450720338823	9.3662184593203e-07	1.47395750983361e-05
"Cep83os"	417.792980225107	-1.06968061743192	0.400963564362868	-2.667775111017	0.00763553480870554	0.0355595013766914
"Hddc2"	293.570233274823	-1.07388933901085	0.276164462893494	-3.88858627123581	0.00010082982995608	0.000925442482770806
"Zdhhc1"	157.7970877841	-1.07514117435377	0.272280635349235	-3.94865089459912	7.85928690600472e-05	0.000747706596517722
"Gpc2"	72.8401973434486	-1.07619634563557	0.398683642793603	-2.69937421584341	0.00694700114167109	0.032924795710665
"Hnrnpa1"	357.514103425958	-1.07793491532747	0.226471034366298	-4.75970323685631	1.93877812646349e-06	2.84219487844752e-05
"Mgat4b"	1012.38465406454	-1.08117719469401	0.269019017155042	-4.01896195342539	5.84551082198414e-05	0.000577014785681093
"Rab11fip4"	374.568915824029	-1.0820504207156	0.182982221844163	-5.91341830813011	3.3507975277363e-09	8.97006070060856e-08
"Zfp932"	378.045361689504	-1.08221483443571	0.155922225618467	-6.94073490897845	3.90065367199621e-12	1.59226406936707e-10
"Pgls"	2158.19464482224	-1.08308773365806	0.111174669976073	-9.74221676476455	1.99161555877752e-22	2.29922680562933e-20
"Eif2b2"	1602.29299951966	-1.08328090730091	0.126363107944832	-8.57276245353079	1.0103176437987e-17	7.31836461883012e-16
"Gkap1"	234.855145108513	-1.0834347479768	0.398116788654286	-2.72139929501347	0.00650061883368172	0.0312186039991273
"Entpd5"	651.991475103928	-1.08358247357217	0.264364294976296	-4.09882307922605	4.15256293145362e-05	0.000425536910111582
"Cox7c"	532.856129173583	-1.0841059543207	0.303963434578307	-3.5665669978519	0.000361688371381114	0.00278701769499567
"Treml2"	2973.63424269862	-1.08573056344177	0.335754622392788	-3.23370250483585	0.00122196670769397	0.00787890855793243
"Gm9776"	87.1394262435395	-1.0871720589904	0.33684146118032	-3.22754822159024	0.00124855994647724	0.00801475687623553
"Akr1c13"	804.610583986532	-1.08817726415331	0.245638318007635	-4.42999802709726	9.42339503321886e-06	0.000114797616163129
