"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Apol11b"	246.765374385749	13.1724463910674	1.34877912669145	9.7661997656943	1.57239728455472e-22	1.21058866937868e-20
"Aqp1"	236.429447247193	13.166065936462	1.5721453941793	8.37458544560061	5.54186016559268e-17	2.45918048500853e-15
"Snca"	192.642275147811	12.6084044507611	1.52700987010684	8.25692400395484	1.49474527472113e-16	6.32310102751537e-15
"C1qc"	265.50404974345	12.5249070941122	1.28092183167791	9.77804170743622	1.39890926825746e-22	1.09342156916895e-20
"Cd36"	158.489013621515	12.3601124311412	1.33266163699893	9.27475668840851	1.7802489269353e-20	1.1374387127365e-18
"Car2"	779.364469217086	12.325533864013	1.12341601682505	10.9714777779712	5.24087424982041e-28	6.30460794521365e-26
"Kel"	115.504607419124	12.2193907946424	1.58677040099664	7.70079325084931	1.35224128272844e-14	4.52648071118534e-13
"Epb4.2"	109.212466418088	12.1106987294065	1.54036425354682	7.86223044420864	3.77352985845208e-15	1.37689129764088e-13
"Add2"	111.512644413158	12.1073754845155	1.45981255012559	8.29378777670725	1.09698095472541e-16	4.67903400023874e-15
"Bgn"	117.065788730837	12.0956776828726	1.71752532922843	7.04250323243057	1.88816453300594e-12	4.90479838037467e-11
"Slc4a1"	1852.82196777113	12.0303498997011	1.35836735208754	8.85647750677518	8.25825422780698e-19	4.54144994999185e-17
"Sparc"	390.36784828882	11.9044635104274	1.3959110066031	8.52809631424604	1.4877565281875e-17	7.02713957700342e-16
"Rhag"	109.29382016218	11.8110092004307	1.64895660428969	7.16271681723147	7.9093629892101e-13	2.15554639482933e-11
"Fcnb"	62.6369875109921	11.7072365275228	1.62191290229747	7.21816597607627	5.26933799221331e-13	1.45930335259174e-11
"Cd5l"	176.057720407163	11.6395384638134	1.4709033371309	7.91319060198554	2.50874817439583e-15	9.28897605685788e-14
"Cx3cr1"	46.9002841161509	11.4560165582645	1.35893001318492	8.43017406865204	3.4515141773609e-17	1.55854590331387e-15
"Igfbp7"	266.651790161695	11.367322683422	2.27120504026558	5.00497422376834	5.58695065904078e-07	5.68591316906212e-06
"C1qa"	228.985628980011	11.3119877661769	1.3180518807109	8.58235395110221	9.29511089201618e-18	4.51501947997682e-16
"Serpinh1"	60.4642242344803	11.298729397427	3.38927242642644	3.33367400900849	0.000857070428967407	0.00407571663534285
