"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tnfrsf10b"	172.945185204157	-1.00076261031456	0.287543212367474	-3.48039031098951	0.000500683794143939	0.00254692073413557
"Kdelc2"	146.830095489559	-1.00277156196131	0.241572610512124	-4.15101513302967	3.31003876762887e-05	0.000226122346690103
"Ets1"	2537.09794686065	-1.00331196615919	0.34267136850726	-2.92791303379038	0.00341245479086949	0.0133498421925326
"Man1a2"	1618.60461083895	-1.00489464414464	0.122283194781708	-8.21776570311654	2.07329517390244e-16	8.60501323119941e-15
"Fbxo11"	1067.8411045203	-1.00508227209514	0.126630696804414	-7.93711396571978	2.06939891224955e-15	7.82914114270728e-14
"Iqcg"	275.70913890999	-1.0052344077262	0.243287576298847	-4.13187727470062	3.59812525413322e-05	0.000242680388362433
"Gm9776"	87.1394262435395	-1.00684090409784	0.33038298987647	-3.04749619365783	0.00230756448569141	0.00963445714497733
"Eif1"	9093.65017541501	-1.0094649721263	0.1906918449196	-5.29369765420178	1.19867552365439e-07	1.375350649272e-06
"St6galnac6"	721.74092314421	-1.01007691943558	0.153223326661244	-6.59218763516817	4.3339235807843e-11	9.29439488814994e-10
"Ttc7b"	1171.0872410777	-1.01288608303037	0.0896624279191842	-11.2966613389425	1.36301915478249e-29	1.85732468542838e-27
"Acbd6"	1159.64826635649	-1.01501137192042	0.167265461320587	-6.06826635879727	1.29298340495021e-09	2.19024845648222e-08
"Psen2"	834.991324070943	-1.01636487188278	0.240658659613855	-4.22326324560093	2.40790296339249e-05	0.000169765979076546
"Map7"	82.4156269909755	-1.01816804508014	0.367831366418199	-2.7680294233596	0.00563963638773014	0.0203132447013494
"Crtc1"	663.841290664519	-1.0185477096099	0.207830655669707	-4.90085404546199	9.54209291740786e-07	9.14307073691638e-06
"Mex3d"	264.571175808315	-1.01902785367297	0.242685970789718	-4.19895657897725	2.6814772801983e-05	0.000187593762655581
"Fastkd1"	376.719870276387	-1.02179359174134	0.189130344089833	-5.402589397585	6.56857020743592e-08	7.88945741451624e-07
"Trip10"	565.850486771616	-1.02473565306603	0.15598859310717	-6.56929864327959	5.05528043167424e-11	1.06518263349136e-09
"Hdac7"	807.276750486808	-1.02554816868043	0.320099831996681	-3.20383850964053	0.00135608517852992	0.0061109158849879
"Ubr2"	5557.34932281203	-1.02706473151848	0.173416982275458	-5.92251530410716	3.17054289415797e-09	4.98163464124944e-08
"Dtd2"	293.069244076832	-1.02855529570732	0.185330740199167	-5.54983644160691	2.85936979858682e-08	3.68328459815618e-07
"Tspyl2"	326.482673245304	-1.02904177521598	0.164682063846958	-6.24865726830025	4.13996235842721e-10	7.49085081023058e-09
"Crnde"	154.802180853671	-1.0304548301053	0.259953414596285	-3.963998055981	7.37048526771967e-05	0.000462660954555024
"Bend3"	396.841794375027	-1.03132530331489	0.221832595749765	-4.64911524759989	3.33361914648653e-06	2.85489808774192e-05
"Slc35g1"	450.810801841626	-1.03145803330327	0.206033266369942	-5.00626938298031	5.54950784569127e-07	5.65528271396123e-06
"Hmgcr"	3307.91710125047	-1.03264336393901	0.413521179434115	-2.49719582767716	0.0125179806582139	0.0395794386396669
"Pik3r2"	1091.52904245858	-1.03318979507804	0.136424989984899	-7.57331772714368	3.63811041206257e-14	1.16464915020664e-12
"Atn1"	982.39483273253	-1.03494350084242	0.235869128589133	-4.3877870200013	1.14509825522828e-05	8.64748549975727e-05
"Bahd1"	1169.45056113595	-1.0354330039561	0.155073178164393	-6.67706057367594	2.4378220910849e-11	5.40887385569529e-10
"Adat1"	209.073511476625	-1.03804793891575	0.207238042116044	-5.00896422450512	5.47237432491561e-07	5.5914810786364e-06
"Jmy"	1039.81889112018	-1.03816773046203	0.259764782902716	-3.99656842956589	6.42673102437695e-05	0.000409258909484517
"Ntmt1"	477.221159220235	-1.03946527217314	0.164835563327307	-6.30607407279651	2.86202103770611e-10	5.33527844292961e-09
"Gne"	1937.6189341471	-1.0396114283215	0.0907411588652214	-11.4568894790691	2.17175022253504e-30	3.21544326217256e-28
"Sde2"	1383.50685489368	-1.0396692278705	0.216576651884687	-4.80046772735252	1.58295484482504e-06	1.44534116632317e-05
"Sgsh"	383.015374448232	-1.04067044824786	0.216709205306951	-4.80215155961573	1.56969809333692e-06	1.43528570315926e-05
"Cebpg"	1908.08662671496	-1.04082089034689	0.392148898726212	-2.65414717146399	0.00795091407889121	0.0272002166155892
"Sos2"	1776.96011975959	-1.04111434318308	0.299938318435495	-3.47109481914023	0.000518340932930938	0.00262332390918817
"Slc7a8"	918.801645217032	-1.04160703814204	0.33623843060214	-3.09782268575523	0.00194948031637214	0.00834888578139201
"Zc3h12a"	380.611470523691	-1.0434957190417	0.365106673554348	-2.85805709570623	0.00426243688267968	0.0160236824022221
"Fbxo24"	61.9094359385074	-1.04385196922511	0.348931030894134	-2.99157104643358	0.00277545947531568	0.011237582172209
"Abhd2"	1239.8787009672	-1.04421802821516	0.211985123602214	-4.92590239574835	8.39719085669207e-07	8.16287530374649e-06
"Kat6b"	433.466169909335	-1.04569571843611	0.229785811666434	-4.55074101770079	5.34573137579151e-06	4.33229324865461e-05
"Uprt"	195.455809093674	-1.04609345227425	0.332232753827284	-3.14867646318243	0.00164011667147095	0.00719092155675106
"Ankib1"	1863.08382497108	-1.04629638848885	0.19312872237518	-5.41761150605173	6.04004804240244e-08	7.30020877212816e-07
"S100pbp"	178.580126944736	-1.04720094159236	0.336075358231182	-3.11597061773272	0.00183340539302323	0.00790556601561796
"2410131K14Rik"	266.743646521508	-1.04762539601471	0.297215647446401	-3.52479892971864	0.000423804343787647	0.00219708112678344
"Rhbdd1"	1371.55599423798	-1.04993416804237	0.310037879046502	-3.38647061859461	0.000707978571594548	0.00344655518350074
