"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Pnp"	2652.96741779479	-1.00184926803804	0.312906006317264	-3.20175786917378	0.00136591758033244	0.00785070559493287
"Chsy1"	2408.06535864206	-1.00206354455938	0.223185122373039	-4.48983128402482	7.12796088714906e-06	8.79214340813035e-05
"Rpp25l"	282.358851073381	-1.00345026335375	0.230664583876413	-4.35025718508821	1.35977953529448e-05	0.000153502384973618
"Tmem120b"	172.68014262963	-1.0037767086016	0.353862403608162	-2.83662999619791	0.00455924139134711	0.0213134799240545
"Zfhx2"	349.384773639078	-1.00453378666865	0.187822020894716	-5.3483280708163	8.87704469785077e-08	1.67316440688955e-06
"Pcyox1"	1316.65988736716	-1.0046460923881	0.195483359581332	-5.13929213483825	2.7577537052121e-07	4.75511394421462e-06
"Nme6"	407.336746773021	-1.00687661369627	0.239412699371717	-4.20561071463035	2.60378083651078e-05	0.000270386995229233
"Mid1ip1"	1938.84036004596	-1.00703138735947	0.10751197305202	-9.36669059986662	7.48423837201586e-21	8.50727618640603e-19
"Fndc3b"	3072.51687165148	-1.00775783437047	0.160992386033706	-6.25966146100527	3.85814095423858e-10	1.13118549366634e-08
"Snapc1"	519.129979125803	-1.0078241699059	0.134510012773985	-7.49255872571601	6.75436911163081e-14	3.50208113552872e-12
"Hspa5"	17227.5930480725	-1.00853782614201	0.182028416269354	-5.54055156228815	3.0152043982922e-08	6.22052529771422e-07
"BC037034"	2698.11031078153	-1.00905528877143	0.254593776029507	-3.9633933889039	7.38918698192114e-05	0.00066619899958419
"Sgpp1"	3137.42239168306	-1.01037632562554	0.0854053306951266	-11.8303660603143	2.71953188463156e-32	7.17616476057154e-30
"Dpy19l1"	758.920557304488	-1.01091828532237	0.364915469373452	-2.7702807092779	0.00560080002404637	0.0251025240992821
"Stk16"	3160.64298138238	-1.01121159904838	0.112453843803279	-8.99223685779336	2.42248968856335e-19	2.38647534186004e-17
"Donson"	475.124781259126	-1.01187902296833	0.24356254800547	-4.15449350179077	3.26008881639815e-05	0.000327049100067315
"Rbbp9"	92.2368802895773	-1.0150898346176	0.323951036529027	-3.13346685194708	0.00172754430031317	0.00952534407676408
"Ids"	112.871066179715	-1.01576522858905	0.27815146489725	-3.65184209604748	0.000260365967150034	0.00196397544490866
"Narf"	1160.68479581228	-1.01659793579392	0.180919197638124	-5.61907165776471	1.91986224006022e-08	4.14763221072659e-07
"Ccdc22"	609.987361381539	-1.01703169484278	0.160717123769458	-6.32808546463082	2.48221656701463e-10	7.48565596138270e-09
"Pisd-ps1"	1692.22702124209	-1.0182400379536	0.14120614247329	-7.21101802031173	5.55351039117013e-13	2.49435328420429e-11
"Irgm2"	206.220845179447	-1.01967133987073	0.310397224519075	-3.28505302020853	0.00101963182363933	0.00616745782149749
"Pdxp"	393.386750403988	-1.02138213783141	0.24019884786527	-4.25223579092402	2.11646845037992e-05	0.000225854114435195
"Manf"	3095.47243236148	-1.02290750965912	0.27695483038786	-3.69340916793759	0.000221267567505895	0.00170829197755204
"Plxna1"	420.77788153988	-1.02517794663434	0.26376149903853	-3.8867611473674	0.000101590626209811	0.00087636000204459
"Svip"	1691.96990994256	-1.02538432452868	0.128867963873061	-7.95685982544675	1.76460433111219e-15	1.15378576109933e-13
"Rnpepl1"	1040.80935473114	-1.02559751081018	0.108213592250948	-9.47752948106392	2.60374429360319e-21	3.12809182329873e-19
"Sorl1"	5337.05646304783	-1.02761619430985	0.168369428307528	-6.103341946573	1.03873282374442e-09	2.82157259861604e-08
"Npc1"	1708.83486928776	-1.02856252038654	0.389176291005057	-2.64292184328665	0.00821940058507713	0.0343005033735342
"Fpgt"	216.264692831122	-1.0296650355689	0.242306921150182	-4.24942478193066	2.14320159485262e-05	0.000228170676996666
"Fxr1"	1689.51851404151	-1.02998708080033	0.0907750242821464	-11.3465910799311	7.71107478488709e-30	1.75302387840425e-27
"Chst11"	1233.7502458806	-1.03214556049984	0.18441278385106	-5.59693064084673	2.18179941286267e-08	4.65230157631625e-07
"Specc1"	936.346561250097	-1.03302623153772	0.236680069364853	-4.36465239472812	1.273250607967e-05	0.000145625574566009
"Phc3"	1170.69435483191	-1.0343051130582	0.136240246151122	-7.59177366657802	3.15555863114193e-14	1.73991380195464e-12
"Tmem86b"	199.963149355199	-1.03438904659176	0.285232871516033	-3.62647208610252	0.000287319862872365	0.002129250558508
"Anxa3"	4605.5236973554	-1.03456478329948	0.1585423971681	-6.52547710756858	6.7785411146265e-11	2.18704152949423e-09
"E2f5"	86.336594571098	-1.03670567477874	0.309368339563325	-3.35103998115017	0.000805086778376195	0.00509497529938545
"Plcb4"	193.159940607164	-1.03841643765489	0.40436798582315	-2.5679986400037	0.0102287557368598	0.0408956503039981
"Sgip1"	1473.4260301467	-1.03980402631249	0.379267078328002	-2.74161424950582	0.00611380947337645	0.0270055685604804
