"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Steap4"	81.8182511450883	10.6530751361715	2.24274761381871	4.75001068802059	2.03405897691146e-06	2.85444344746635e-05
"Gal3st1"	123.022165864464	10.4275361611192	2.053603417388	5.07767764351603	3.82076218373431e-07	6.43045589852414e-06
"Retnla"	224.651063626807	10.2421070907053	1.53780856409761	6.66019641834642	2.73461870724498e-11	9.50810838516683e-10
"Prg2"	21146.8398849578	9.96074428533361	0.219481634145053	45.3830422947857	0	0
"Foxb1"	20.1033156158229	9.25266631595718	2.38567821279684	3.87842176967776	0.000105136324391819	0.0009022064259802
"Tdrd5"	19.4156009783512	9.18943664181545	2.21361517541861	4.15132528176567	3.30555562702272e-05	0.000330712224106396
"1700019B03Rik"	20.959062446324	9.11248677778126	2.19908422959354	4.14376432478238	3.41650860892628e-05	0.000341119916987187
"D030018L15Rik"	23.6973921169611	9.02168589337394	2.12492303803219	4.24565301043966	2.17957710169427e-05	0.00023187624788867
"Cnpy1"	39.6764563563645	8.96219598138298	2.07724579687637	4.31446100161076	1.59992772834291e-05	0.000177227376624612
"Susd5"	36.1950127499796	8.91612278392856	2.09773839750939	4.25035018404321	2.13436557977063e-05	0.000227557865600797
"Ttll9"	17.6754099680268	8.74396826814978	2.12307570417964	4.11853814300441	3.81283465417169e-05	0.00037536480802595
"Igsf11"	19.5404003925859	8.65446121731568	2.39930418580509	3.60707127863059	0.000309672613147427	0.00226536247746511
"Fosb"	1541.02859147536	8.60970108792456	1.20400082841736	7.15090960464029	8.6204746508707e-13	3.79121291416418e-11
"Ncan"	13.0287568385667	8.52410397609251	3.27078911854907	2.60613071254005	0.00915715085786764	0.0374730596030767
"Xrra1"	26.297803501928	8.35418024703377	2.16860033164279	3.8523374386396	0.000116995645587337	0.00098854010661327
"Bcan"	11.7503170364324	8.22476924151511	2.51155504309855	3.27477164560489	0.00105747415734043	0.00634184075609562
"Tbx15"	78.8250575918978	8.15406708080446	1.4717542073647	5.54037286932917	3.01828289805853e-08	6.22052529771422e-07
"Ppp1r1c"	7.67626270814984	7.8416423596698	3.13684788439474	2.49984782452493	0.0124246664213437	0.0476633685639136
"Dmrt3"	8.23764431994653	7.80009868474745	2.23857506355208	3.48440345456657	0.000493235371850673	0.00334336655497128
"9230102O04Rik"	13.7619396322659	7.75089444388066	2.24335746660663	3.45504207833845	0.000550206945796038	0.00367725374854277
"4930412O13Rik"	14.258375536155	7.67861608748113	2.12455023443311	3.61423136202285	0.000301239974013607	0.00221041521586817
"D330045A20Rik"	39.8608018012198	7.542928589093	1.50359011732656	5.01661224170894	5.25905577417206e-07	8.49323138523941e-06
"Zan"	10.2000095649111	7.46622825706234	2.21726618212123	3.36731255690712	0.000759046068285675	0.00483675021606616
"Epx"	103.954443343255	7.35837358215993	0.97671207995188	7.53382059380535	4.92768194534698e-14	2.63827377197074e-12
